Date       ,Time    ,League                ,Season  ,Match Day ,home_team                                   ,away_team ,goal_minute ,team_side ,player_name                 ,goal_type
02/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       19 ,Arua Hill SC Vs Wakiso Giants FC            ,          ,86          ,away      ,Sam Ssenyonjo               ,Regular
21/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       30 ,UPDF FC Vs Onduparaka FC                    ,          ,25          ,home      ,Ivan Ahimbisibwe            ,Regular
21/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       30 ,UPDF FC Vs Onduparaka FC                    ,          ,36          ,away      ,Ahmed Amayo                 ,Regular
21/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       30 ,UPDF FC Vs Onduparaka FC                    ,          ,71          ,away      ,Emmanuel Janan Okech        ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Gaddafi FC Vs Vipers SC                     ,          ,32          ,away      ,Milton Karisa               ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Gaddafi FC Vs Vipers SC                     ,          ,38          ,home      ,Jamaldine Karenzi Bucochera ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Gaddafi FC Vs Vipers SC                     ,          ,40          ,away      ,Milton Karisa               ,Regular
01/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        8 ,Gaddafi FC Vs Vipers SC                     ,          ,43          ,away      ,Bright Anukani              ,Regular
07/01/2022 ,3:00 pm ,Uganda Premier League ,2021/22 ,       15 ,Gaddafi FC Vs Wakiso Giants FC              ,          ,90          ,home      ,Yunusu Sibira               ,Regular
11/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Wakiso Giants FC Vs UPDF FC                 ,          ,12          ,home      ,Titus Ssematimba            ,Penalty
10/12/2021 ,3:15 pm ,Uganda Premier League ,2021/22 ,       10 ,Soltilo Bright Stars FC Vs Arua Hill SC     ,          ,            ,          ,                            ,
23/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        1 ,SC Villa Vs BUL FC                          ,          ,28          ,away      ,Musa Esenu                  ,Regular
23/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        1 ,SC Villa Vs BUL FC                          ,          ,44          ,away      ,Musa Esenu                  ,Regular
23/11/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        1 ,SC Villa Vs BUL FC                          ,          ,83          ,home      ,Isaac Ogwang                ,Regular
13/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       25 ,Tooro United FC Vs Soltilo Bright Stars FC  ,          ,15          ,away      ,Emmanuel Peter Loki         ,Regular
13/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       25 ,Tooro United FC Vs Soltilo Bright Stars FC  ,          ,17          ,away      ,Derrick Ngoobi              ,Regular
13/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       25 ,Tooro United FC Vs Soltilo Bright Stars FC  ,          ,75          ,home      ,Apollo Kagogwe              ,Penalty
22/04/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       26 ,Express FC Vs Onduparaka FC                 ,          ,3           ,away      ,Shaban Mohammad Jagason     ,Regular
