Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
12/10/2022,4:00 pm,Uganda Premier League,2022/23,3,UPDF FC,Busoga United FC,22,home,Ivan Ahimbisibwe,Regular
12/10/2022,4:00 pm,Uganda Premier League,2022/23,3,UPDF FC,Busoga United FC,29,home,Ivan Ahimbisibwe,Penalty
12/10/2022,4:00 pm,Uganda Premier League,2022/23,3,UPDF FC,Busoga United FC,53,home,Ivan Ahimbisibwe,Regular
12/10/2022,4:00 pm,Uganda Premier League,2022/23,3,UPDF FC,Busoga United FC,78,away,Laban Tibiita,Regular
21/10/2022,4:00 pm,Uganda Premier League,2022/23,4,Wakiso Giants FC,Blacks Power FC,38,home,Norman Ogik,Regular
21/10/2022,4:00 pm,Uganda Premier League,2022/23,4,Wakiso Giants FC,Blacks Power FC,76,home,Titus Ssematimba,Regular
21/10/2022,4:00 pm,Uganda Premier League,2022/23,4,Wakiso Giants FC,Blacks Power FC,90+1,away,Micheal Siwu Baggio,Regular
23/11/2022,2:00 pm,Uganda Premier League,2022/23,9,Gaddafi FC,Arua Hill SC,59,home,Alex Kitata,Regular
23/11/2022,2:00 pm,Uganda Premier League,2022/23,9,Gaddafi FC,Arua Hill SC,81,home,Brian Kalumba,Regular
25/04/2023,4:00 pm,Uganda Premier League,2022/23,24,Maroons FC,UPDF FC,19,home,Fred Amaku,Regular
20/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Soltilo Bright Stars FC,KCCA FC,66,home,Emmanuel Peter Loki,Regular
04/04/2023,4:00 pm,Uganda Premier League,2022/23,21,UPDF FC,Arua Hill SC,4,away,Jacob Kamwesiga,Regular
04/04/2023,4:00 pm,Uganda Premier League,2022/23,21,UPDF FC,Arua Hill SC,39,home,Samson Kasozi,Regular
04/04/2023,4:00 pm,Uganda Premier League,2022/23,21,UPDF FC,Arua Hill SC,45,home,Ivan Ahimbisibwe,Regular
04/04/2023,4:00 pm,Uganda Premier League,2022/23,21,UPDF FC,Arua Hill SC,81,home,Badru Jibril Nsimbe,Regular
01/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Wakiso Giants FC,BUL FC,,,,
22/11/2022,4:00 pm,Uganda Premier League,2022/23,9,Express FC,Soltilo Bright Stars FC,10,away,Nelson Senkatuka,Regular
22/11/2022,4:00 pm,Uganda Premier League,2022/23,9,Express FC,Soltilo Bright Stars FC,31,away,Nelson Senkatuka,Regular
28/10/2022,4:00 pm,Uganda Premier League,2022/23,5,SC Villa,Busoga United FC,84,home,Patrick Jonah Kakande,Regular
21/12/2022,4:00 pm,Uganda Premier League,2022/23,15,Express FC,Blacks Power FC,,,,
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Maroons FC,URA FC,15,home,Abraham Tusubira Kakensa,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Maroons FC,URA FC,37,away,George Senkaaba,Regular
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Maroons FC,URA FC,55,away,Derrick Ndahiro,Penalty
29/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Maroons FC,URA FC,90+1,home,Fred Amaku,Penalty
19/10/2022,2:00 pm,Uganda Premier League,2022/23,4,Express FC,Gaddafi FC,9,home,Allan Thierry Kayiwa,Regular
19/10/2022,2:00 pm,Uganda Premier League,2022/23,4,Express FC,Gaddafi FC,53,away,Brian Kalumba,Regular
04/04/2023,4:00 pm,Uganda Premier League,2022/23,21,Gaddafi FC,Busoga United FC,,,,
22/04/2023,4:00 pm,Uganda Premier League,2022/23,24,Arua Hill SC,Gaddafi FC,5,away,Alex Kitata,Regular
22/04/2023,4:00 pm,Uganda Premier League,2022/23,24,Arua Hill SC,Gaddafi FC,12,home,Ronald Media Innocent,Regular
